ACCIDENT_NO,LIGHT_CONDITION,SEVERITY,SPEED_ZONE,ROAD_GEOMETRY,NO_PERSONS_NOT_INJ,LICENCE_STATE,SEATING_POSITION,HELMET_BELT_WORN
T20120005226,1,2,70,5,3,1,1,0
T20120005233,1,3,60,2,1,1,1,0
T20120009211,1,2,70,5,0,1,1,1
T20120005272,3,3,50,5,0,1,1,1
T20120005275,3,3,70,1,1,1,1,0
T20120005276,1,2,100,5,2,1,1,0
T20120005347,3,3,60,5,1,1,1,1
T20120005321,1,3,50,2,0,1,1,1
T20120005332,1,2,50,5,1,1,1,1
T20120005353,3,2,80,1,6,1,1,1
T20120005352,3,3,80,4,4,1,1,1
T20120005351,3,3,60,5,0,1,1,1
T20120005727,1,2,60,5,0,1,1,1
T20120005307,1,3,60,2,0,1,1,1
T20120005348,1,3,80,5,0,1,1,1
T20120005336,1,3,100,5,2,1,1,1
T20120005338,1,3,70,1,2,1,1,1
T20120005760,1,3,60,5,2,1,1,1
T20120005442,5,2,100,5,0,1,1,1
T20120005279,3,3,50,5,0,1,1,1
T20120005309,1,3,80,5,0,1,1,1
T20120005297,3,2,60,5,0,1,1,1
T20120014082,2,3,50,2,0,1,1,1
T20120005509,3,3,40,5,3,1,0,0
T20120005356,3,2,60,1,0,1,1,1
T20120005400,3,2,70,1,2,1,1,1
T20120005486,1,3,80,1,4,1,1,1
T20120005313,1,3,40,2,4,1,1,1
T20120005317,1,3,40,5,0,1,1,1
T20120005318,1,2,60,1,1,1,1,1
T20120005296,5,2,100,2,0,1,1,1
T20120005293,3,2,50,1,2,1,1,0
T20150001781,4,3,50,5,1,1,1,1
T20120005577,1,2,60,2,1,1,1,1
T20120005341,1,2,60,5,4,1,1,1
T20120005373,3,3,80,2,1,1,1,1
T20120005362,5,2,100,5,0,1,1,0
T20120005308,1,3,70,5,0,1,1,1
T20120005401,3,3,80,2,0,1,1,1
T20120005319,1,2,100,5,0,1,1,1
T20120006085,1,3,60,1,1,1,1,0
T20120005422,1,3,100,2,2,1,1,1
T20120005420,1,3,60,2,1,1,1,1
T20120005423,1,3,50,2,3,1,1,1
T20120005426,1,3,60,2,1,1,1,1
T20120005386,1,3,60,2,1,1,1,1
T20120005431,1,3,50,5,1,1,1,1
T20120005432,1,3,80,5,2,1,1,1
T20120005433,2,3,60,2,5,1,0,0
T20120005394,1,2,80,2,1,1,0,0
T20120018167,0,3,60,2,1,1,1,0
T20120005368,1,2,70,5,2,1,0,0
T20120005469,5,2,100,5,0,1,1,0
T20120005434,5,2,100,2,1,1,1,1
T20120005435,2,3,100,5,0,1,0,0
T20120006984,1,3,50,5,0,1,0,0
T20120005418,2,3,70,2,0,1,1,0
T20120005371,1,2,110,1,1,1,1,1
T20120005391,1,2,100,5,0,1,1,0
T20120005555,1,3,60,2,1,1,1,0
T20120005369,1,3,60,5,1,1,1,0
T20120005478,5,3,100,5,1,1,1,1
T20120006556,5,3,80,5,1,1,1,1
T20120005521,1,3,70,2,1,1,1,1
T20120005522,1,3,50,2,2,1,1,1
T20120005524,1,2,60,1,1,1,1,0
T20120005525,1,2,70,2,1,1,1,1
T20120005529,1,3,60,1,2,1,1,1
T20120014166,1,3,60,4,5,1,1,1
T20120005530,2,3,80,1,1,1,1,1
T20120005531,1,2,40,2,1,1,0,0
T20120005532,1,2,60,5,0,1,1,0
T20120005534,2,3,40,5,1,1,1,0
T20120005449,3,2,70,5,0,1,1,1
T20120005520,1,3,60,2,3,1,1,1
T20120005451,3,3,70,5,0,1,1,1
T20120005452,3,2,60,2,1,1,1,1
T20120011886,1,3,40,2,1,1,1,0
T20120005462,1,3,80,1,1,1,1,0
T20120005535,1,3,60,1,1,1,1,0
T20120005600,3,3,60,2,1,1,1,1
T20120005466,1,3,40,5,1,1,1,0
T20120005489,1,3,60,1,1,1,1,1
T20120005650,3,2,70,2,2,1,1,1
T20120005470,1,3,100,5,1,1,0,0
T20120005472,1,3,100,5,1,1,1,0
T20120005474,3,3,70,1,1,1,1,1
T20120005475,1,3,80,1,1,1,1,0
T20120005536,1,2,50,1,2,1,1,0
T20120005537,3,2,100,5,0,1,1,0
T20120005517,1,3,50,5,1,1,1,0
T20120005515,1,3,70,5,2,1,1,1
T20120005479,1,3,60,2,1,1,1,1
T20120005491,1,3,50,2,0,1,1,1
T20120005523,1,2,50,5,1,1,0,1
T20120005764,1,2,70,5,1,1,1,1
T20120005500,1,3,100,5,0,1,1,1
T20120005538,3,3,50,1,1,1,1,1
T20130010367,3,3,60,5,1,1,1,0
T20120011579,1,2,60,2,1,1,0,0
T20120005507,1,2,60,5,2,1,1,0
T20120005640,0,3,60,5,1,1,1,1
T20120005540,3,2,60,2,0,1,1,1
T20120005554,1,3,70,4,2,1,1,0
T20130012867,1,3,60,5,1,1,1,1
T20120005567,1,2,60,1,1,1,1,0
T20120005685,1,3,60,5,0,1,1,1
T20120005585,3,3,110,2,1,1,1,0
T20120005671,1,3,50,2,1,1,1,1
T20120007637,1,3,60,5,2,1,0,0
T20120005542,1,2,40,1,0,1,1,1
T20120005601,1,3,50,2,2,1,1,1
T20120006117,1,2,60,2,0,1,1,1
T20120005623,3,2,60,5,4,1,1,1
T20120006116,1,2,80,2,0,1,1,0
T20120005635,1,2,100,5,1,1,1,1
T20120005605,1,2,100,5,2,1,1,1
T20120005633,1,3,70,2,1,1,1,1
T20120009848,1,3,60,5,1,1,1,1
T20120006879,1,3,40,5,0,1,1,0
T20120005652,1,2,60,2,1,1,1,1
T20120005547,3,2,60,5,1,1,1,0
T20120016939,1,3,50,5,1,1,0,0
T20120005626,3,3,60,1,1,1,1,1
T20120006930,0,3,60,1,1,1,1,0
T20120005840,5,3,110,5,0,1,1,0
T20120005621,1,2,60,2,1,1,0,1
T20120005641,1,3,40,1,0,1,1,1
T20120005669,1,3,80,2,2,1,1,1
T20120005550,1,2,60,1,3,1,1,1
T20120005668,1,3,60,2,2,1,1,1
T20120005619,1,2,60,5,0,1,0,0
T20120005556,1,3,100,1,1,1,0,0
T20120005559,1,3,60,5,1,1,1,1
T20120005563,1,3,80,5,2,1,1,1
T20120005565,1,3,100,5,0,1,1,1
T20120006014,1,2,70,2,1,1,1,1
T20120005568,2,2,80,1,1,1,1,1
T20120005571,1,3,60,5,3,1,1,1
T20120005572,1,3,50,2,1,1,1,1
T20120005576,1,2,80,1,1,1,1,1
T20120005617,1,3,70,2,3,1,1,0
T20120005583,1,3,100,1,0,1,1,1
T20120005616,1,3,50,1,1,1,1,0
T20120005614,1,3,50,2,0,1,1,1
T20120005586,2,2,100,5,1,1,1,0
T20120005613,1,2,60,5,2,1,1,1
T20120005588,1,3,80,5,2,1,1,1
T20120005624,1,3,50,5,0,1,1,1
T20120005591,1,2,60,5,0,1,1,1
T20120005592,1,3,60,1,0,1,1,1
T20120005599,1,2,60,1,1,1,1,1
T20120005666,1,3,60,4,1,1,1,1
T20120005667,1,2,50,5,1,1,1,1
T20120005750,1,3,50,2,1,1,1,1
T20120005672,1,3,100,5,0,1,1,0
T20120005682,1,3,50,1,2,1,1,0
T20120005683,1,2,60,1,3,1,1,0
T20120005687,1,2,100,5,0,1,1,0
T20120005689,1,2,50,5,1,1,1,0
T20120005690,1,2,100,1,3,1,1,1
T20120005691,1,2,60,5,1,1,1,1
T20120005694,1,3,70,1,0,1,1,1
T20120005698,1,3,100,5,0,1,1,1
T20120005702,1,3,50,5,1,1,1,1
T20120005708,1,3,50,5,1,1,0,1
T20120005712,1,3,60,2,1,1,1,1
T20120005713,2,3,40,1,2,1,1,1
T20120005716,1,2,60,5,1,1,1,1
T20120005717,5,3,100,5,0,1,0,0
T20120005719,5,3,60,5,0,1,1,1
T20120005720,3,2,60,1,0,1,1,1
T20120005748,3,2,50,5,0,1,1,1
T20120005737,1,3,40,5,2,1,1,1
T20120005728,1,3,60,2,1,1,1,1
T20120005726,1,3,100,5,3,1,1,0
T20120005638,1,2,80,5,0,1,1,1
T20120005995,5,3,100,5,0,1,1,1
T20120005996,1,3,60,1,1,1,1,1
T20120006459,3,3,70,1,3,1,1,1
T20120006293,1,3,50,2,1,1,1,1
T20120008067,3,2,50,5,1,1,1,1
T20120006618,1,3,50,1,2,1,0,1
T20120006036,1,3,50,5,1,1,1,1
T20120022451,0,3,70,1,1,1,1,1
T20120021886,1,3,60,5,1,1,1,0
T20120005657,1,3,50,2,1,1,1,0
T20120005793,1,2,100,5,0,1,1,1
T20120005881,1,3,60,2,1,1,1,1
T20120005651,1,2,50,2,1,1,1,1
T20120005648,1,3,60,5,3,1,1,1
T20120005850,1,3,80,5,1,1,1,1
T20120005631,3,2,50,2,1,1,1,1
T20120005646,1,2,70,2,0,1,1,0
T20120005642,1,3,80,5,7,1,1,1
T20120005634,3,2,70,5,0,1,0,0
T20120005628,3,2,100,5,1,1,1,0
T20120006378,1,3,70,2,0,1,1,1
T20120005663,1,3,60,2,1,1,1,1
T20120005665,1,3,80,5,1,1,1,1
T20120005718,3,3,60,5,0,1,1,1
T20120005880,1,3,90,5,1,1,1,1
T20120005802,1,2,60,5,1,1,1,1
T20120005770,1,1,100,5,0,1,1,1
T20120006132,1,3,50,2,1,1,1,0
T20120006026,1,3,80,1,1,1,1,0
T20120005769,1,3,50,5,1,1,1,1
T20120005768,1,2,60,5,1,1,1,1
T20120005800,1,3,70,1,1,1,1,0
T20120011544,1,2,50,1,1,1,1,0
T20120005723,5,3,100,5,0,1,1,1
T20120022990,1,3,60,4,2,1,1,1
T20120005783,1,1,80,1,0,1,1,0
T20120005780,1,2,100,1,1,1,1,1
T20120006158,1,3,40,5,1,1,1,1
T20120005777,1,3,80,2,2,1,1,1
T20120005819,1,2,60,5,1,1,0,0
T20120005929,1,2,70,2,1,1,1,1
T20120005852,3,3,80,5,2,1,1,1
T20120006645,1,3,80,5,2,1,1,1
T20120005807,1,3,100,5,0,1,1,1
T20120005774,1,2,60,5,1,1,1,0
T20120005759,1,2,50,1,0,1,1,1
T20120005883,1,2,100,5,0,1,0,0
T20120005792,1,2,60,2,2,1,1,0
T20120005791,1,3,50,1,2,1,1,1
T20120005772,1,3,80,5,2,1,1,1
T20120005787,1,2,100,5,2,1,1,0
T20120005795,1,2,50,5,1,1,1,1
T20120006992,5,2,100,5,2,1,1,0
T20120005784,1,3,50,1,1,1,1,1
T20120006330,1,3,50,2,1,1,0,0
T20120005824,1,3,70,5,2,1,1,1
T20120005822,1,2,80,5,1,1,1,0
T20120005749,1,2,60,2,1,1,1,0
T20120005820,5,2,100,5,1,1,1,1
T20120005799,1,2,80,5,5,1,0,1
T20120006249,1,2,70,5,0,1,1,1
T20120012949,1,3,40,2,1,1,1,0
T20120013107,3,3,70,1,1,1,1,1
T20120005752,1,2,60,1,4,1,1,1
T20120005786,1,3,60,2,1,1,1,0
T20120007565,3,3,50,5,1,1,1,1
T20120005736,1,3,70,5,1,1,1,1
T20120006024,1,3,60,5,1,1,1,1
T20120006029,2,3,60,1,1,1,1,1
T20120005882,1,2,100,5,0,1,1,0
T20120005889,1,3,60,5,2,1,1,1
T20120005932,1,3,100,5,0,1,1,0
T20120005910,3,3,50,1,1,1,1,1
T20120005909,5,2,100,5,0,1,1,0
T20120005903,5,2,100,5,0,1,1,1
T20120005901,1,3,70,2,1,1,1,1
T20120005900,1,1,100,5,2,1,1,1
T20120005874,1,2,60,5,0,1,1,1
T20120005899,1,2,50,5,0,1,1,1
T20120006186,1,3,60,2,1,1,1,0
T20120005893,1,3,50,1,5,1,1,1
T20130003156,5,2,100,5,0,1,1,1
T20120005867,1,2,60,1,2,1,1,1
T20120005866,1,3,60,2,0,1,1,1
T20120005885,1,3,50,1,1,1,1,1
T20120005865,1,3,100,1,6,1,1,0
T20120005891,1,2,100,5,4,1,1,1
T20120005854,1,3,80,5,1,1,1,1
T20120005892,1,3,60,5,3,1,1,1
T20120005869,1,3,60,2,0,1,1,1
T20120005843,1,2,60,1,1,1,0,0
T20120005855,1,3,80,5,2,1,1,1
T20120005853,1,2,50,1,4,1,0,0
T20120005877,1,2,40,5,0,1,1,1
T20120005863,1,3,60,4,1,1,1,1
T20120005831,3,3,80,5,0,1,1,1
T20120006157,3,3,50,5,0,1,1,1
T20120005873,1,3,60,1,2,1,1,1
T20120012479,1,3,100,5,0,1,1,0
T20120005862,1,3,80,1,2,1,1,1
T20120005849,1,3,80,2,2,1,1,1
T20120006416,4,2,80,2,0,1,1,1
T20120005832,3,3,60,1,1,1,1,0
T20120005845,1,2,60,5,0,1,1,1
T20120005926,1,3,60,4,1,1,1,1
T20120005934,1,3,100,5,0,1,1,1
T20120005921,2,3,100,5,0,1,1,1
T20120006218,1,3,60,5,0,1,1,1
T20120005918,2,3,80,5,0,1,1,0
T20120005915,3,2,50,5,0,1,1,0
T20120006691,1,3,60,1,4,1,1,1
T20120009712,3,3,60,2,2,1,1,1
T20120006535,1,3,60,5,0,1,1,0
T20120005914,3,3,50,5,0,1,0,0
T20120005913,3,2,60,5,0,1,1,1
T20120005907,3,3,60,1,1,1,1,1
T20120006212,1,3,100,2,1,1,1,0
T20120005975,1,2,70,5,0,1,1,0
T20120006125,3,3,40,2,0,1,1,0
T20120011489,1,2,60,2,1,1,1,1
T20120006813,1,2,100,5,0,1,1,1
T20120006093,1,3,100,5,0,1,1,0
T20120006455,1,3,60,5,0,1,1,1
T20120008424,1,3,60,5,0,1,1,0
T20120005982,1,1,100,5,1,1,1,1
T20120005981,3,3,60,1,1,1,1,0
T20120005977,1,3,60,5,4,1,1,1
T20120006063,1,2,100,2,1,1,1,0
T20120005971,1,3,60,1,0,1,1,0
T20120005967,1,3,60,1,1,1,1,0
T20120005965,1,2,100,5,1,1,1,1
T20120005961,1,3,100,5,0,1,1,1
T20120005960,1,3,80,2,3,1,1,0
T20120005958,4,3,60,2,2,1,1,1
T20120005957,1,3,80,5,0,1,1,1
T20120005954,1,3,100,5,0,1,1,0
T20120005952,1,2,50,2,3,1,1,1
T20120005951,3,3,50,1,1,1,0,0
T20120005949,4,3,50,1,1,1,1,0
T20120005946,3,2,60,5,0,1,1,1
T20120005945,1,2,100,5,0,1,1,1
T20120006311,1,2,60,2,0,1,1,0
T20120005944,1,2,60,1,3,1,1,1
T20120005942,1,2,50,5,1,1,1,0
T20120005937,1,2,60,5,0,1,1,0
T20120005936,1,2,80,5,0,1,1,1
T20120006637,5,2,100,2,2,1,0,0
T20120006021,1,3,70,1,0,1,1,0
T20120006035,1,3,50,2,1,1,1,0
T20120006032,1,2,100,5,0,1,1,0
T20120006033,1,3,100,5,0,1,1,1
T20120006037,1,3,70,1,0,1,1,1
T20120006061,3,1,60,2,1,1,1,1
T20120006040,1,3,50,2,0,1,1,1
T20120006071,1,3,50,2,2,1,0,0
T20120006064,3,2,100,5,0,1,1,0
T20120006800,1,3,50,1,0,1,1,0
T20120006072,1,2,100,5,1,1,1,0
T20120006334,1,3,60,1,1,1,1,1
T20120009281,1,3,100,5,1,1,1,0
T20120006318,1,3,80,5,1,1,1,0
T20120006030,1,3,50,1,1,1,0,0
T20120005983,3,3,100,5,0,1,1,1
T20120006077,1,3,100,2,1,1,1,1
T20120006143,1,2,60,1,2,1,1,1
T20120005989,3,3,60,2,0,1,0,0
T20120006018,1,2,50,1,0,1,1,1
T20120006111,1,3,50,2,1,1,1,1
T20120006557,1,3,80,5,0,1,1,0
T20120019012,0,3,60,5,0,1,1,1
T20120006220,1,3,60,5,0,1,1,0
T20120006016,1,3,100,2,2,1,1,1
T20120006060,1,2,50,5,1,1,1,1
T20120006054,1,2,100,5,0,1,1,1
T20120005990,5,2,110,5,1,1,1,1
T20120006053,1,2,100,5,0,1,1,1
T20120006051,2,3,80,2,1,1,1,1
T20120022454,0,3,80,5,1,1,1,1
T20120006044,1,3,60,5,5,1,0,0
T20120005997,1,3,70,2,6,1,1,0
T20120005999,1,2,60,2,0,1,1,1
T20120006003,5,2,100,5,0,1,1,1
T20120006039,1,2,80,1,1,1,1,1
T20120006004,1,3,70,5,1,1,1,1
T20120006007,1,3,70,5,0,1,1,1
T20120006038,1,3,100,5,5,1,1,1
T20120006009,1,3,80,2,0,1,1,1
T20120006015,1,2,60,5,1,1,1,0
T20120006070,3,2,60,5,1,1,1,0
T20120006104,1,2,60,2,0,1,1,1
T20120006074,1,3,50,2,1,1,1,1
T20120006075,1,3,60,2,1,1,1,1
T20120006151,1,3,50,2,1,1,1,1
T20120006078,1,3,40,2,1,1,1,1
T20120006082,1,3,100,5,3,1,1,0
T20120006142,1,3,60,1,1,1,1,1
T20120006102,1,3,50,1,1,1,1,1
T20120006115,1,2,80,5,2,1,1,0
T20120006108,1,3,50,1,1,1,1,1
T20120006109,1,3,80,5,0,1,1,1
T20120006088,1,3,50,2,1,1,1,0
T20120006089,1,3,70,5,1,1,1,0
T20120006144,1,3,80,5,0,1,1,1
T20120006252,1,3,60,5,2,1,1,0
T20120006149,3,2,80,4,0,1,0,0
T20120013893,1,3,60,1,1,1,1,0
T20120014232,1,2,50,5,1,1,1,1
T20120006118,1,2,60,5,1,1,1,1
T20120006121,1,3,60,1,2,1,1,1
T20120006122,1,3,50,5,3,1,1,0
T20120006163,3,3,70,1,2,1,1,1
T20120006164,3,2,60,2,0,1,1,0
T20120006124,1,3,80,1,2,1,1,1
T20120006133,1,3,60,5,1,1,1,1
T20120006134,1,3,60,5,1,1,1,1
T20120006135,1,2,80,2,1,1,1,0
T20120006191,1,3,50,2,0,1,1,0
T20120006152,3,3,50,2,1,1,1,1
T20120006301,1,3,100,5,1,1,1,1
T20120006113,1,3,50,5,1,1,1,1
T20120006112,1,3,60,1,2,1,1,1
T20120006097,1,3,50,5,1,1,1,1
T20120006138,1,2,100,5,0,1,1,1
T20120006139,1,3,50,2,3,1,0,0
T20120006140,1,3,50,1,1,1,1,0
T20120006141,1,2,100,1,1,1,1,1
T20120006271,1,3,100,5,2,1,1,1
T20120006101,1,3,50,5,1,1,1,1
T20120006103,1,2,60,2,1,1,1,0
T20120006068,5,2,110,5,0,1,1,0
T20120006092,1,2,50,2,0,1,1,1
T20120006243,1,3,50,1,2,1,1,0
T20120006244,1,3,40,2,1,1,1,1
T20120006260,3,2,50,5,0,1,1,1
T20120006269,1,3,60,5,2,1,1,1
T20120006286,1,3,60,1,1,1,1,0
T20120009740,1,2,50,5,0,1,1,1
T20120006247,1,1,100,5,0,1,1,1
T20120006245,3,3,60,2,0,1,1,1
T20120006168,2,3,60,2,1,1,0,0
T20120006169,3,1,100,2,0,1,1,0
T20120006170,1,3,100,5,1,1,0,0
T20120006905,1,2,60,2,3,1,1,1
T20120006179,1,2,100,5,1,1,1,1
T20120006184,1,3,60,5,1,1,1,1
T20120006185,3,1,60,5,1,1,1,1
T20120006187,1,3,60,5,1,1,1,1
T20120006195,1,2,50,1,2,1,1,1
T20120006414,1,2,60,5,2,1,1,1
T20120006198,1,3,60,2,1,1,1,1
T20120006199,1,2,100,5,1,1,1,1
T20120018431,1,3,70,2,1,1,1,1
T20120006336,1,3,50,5,0,1,1,1
T20120006335,1,3,100,5,1,1,1,1
T20120006204,1,3,60,1,1,1,1,1
T20120006333,1,3,60,5,3,1,1,1
T20120006374,1,2,100,1,1,1,1,0
T20120006210,5,1,100,5,1,1,1,0
T20120006257,1,2,60,5,3,1,1,1
T20120008905,1,3,80,2,2,1,1,1
T20120006211,1,2,60,2,0,1,1,1
T20120006216,1,2,50,2,1,1,1,1
T20120006221,1,3,60,2,0,1,1,1
T20120006222,1,2,80,5,1,1,1,1
T20120006223,1,3,60,1,1,1,1,1
T20120006224,1,2,40,2,3,1,1,0
T20120006225,1,2,60,2,1,1,1,1
T20120006230,1,2,50,1,0,1,1,1
T20120006231,1,3,70,1,1,1,1,1
T20120006234,1,2,100,2,0,1,1,1
T20120006238,1,2,100,5,0,1,1,0
T20120006239,3,2,60,2,1,1,1,0
T20120006276,1,2,80,1,0,1,1,1
T20120006273,1,3,60,2,1,1,1,1
T20120006272,2,3,100,5,1,1,0,0
T20120006320,1,2,50,2,1,1,0,0
T20120006294,1,2,50,2,3,1,1,1
T20120006268,5,2,80,5,0,1,1,1
T20120006265,1,2,70,2,4,1,1,0
T20120006263,1,2,100,5,0,1,1,1
T20120006262,2,3,80,5,1,1,1,1
T20120006248,3,3,70,5,0,1,1,0
T20120006261,1,3,70,2,1,1,1,1
T20120006339,1,2,80,5,0,1,0,0
T20120006258,1,3,60,2,1,1,1,1
T20120006296,1,3,40,1,0,1,1,1
T20120006322,1,3,60,5,2,1,1,1
T20120006323,1,3,40,5,1,1,1,1
T20120006288,1,3,60,2,1,1,1,1
T20120006308,1,2,60,1,2,1,0,0
T20120006340,3,3,60,2,1,1,1,0
T20120006325,1,3,50,2,0,1,1,1
T20120006331,1,3,60,2,1,1,1,0
T20120006722,1,2,50,5,0,1,1,1
T20120006332,1,2,100,5,0,1,1,0
T20120006344,1,3,80,1,1,1,1,0
T20120015603,1,3,80,2,2,1,0,0
T20120006309,1,3,100,1,2,1,1,1
T20120006345,3,2,50,2,0,1,1,1
T20120006312,1,3,80,1,1,1,1,1
T20120006279,1,2,50,1,1,1,0,0
T20120006281,1,3,60,2,1,1,1,1
T20120007013,2,3,60,5,1,1,1,1
T20120006315,1,2,70,2,2,1,1,1
T20120006283,1,3,60,2,1,1,1,1
T20120006284,1,2,50,5,2,1,1,0
T20120006292,1,3,100,5,1,1,1,1
T20120006337,3,3,60,2,3,1,1,0
T20120006338,1,3,50,2,1,1,1,0
T20120006415,1,3,100,5,0,1,1,1
T20120006300,1,2,100,5,0,1,1,1
T20120006413,3,3,60,2,1,1,1,0
T20120006410,1,3,50,1,1,1,1,0
T20120006317,1,3,50,1,1,1,1,1
T20120006385,3,3,50,2,0,1,1,1
T20120007055,1,3,50,5,1,1,1,1
T20120006349,3,2,60,2,1,1,1,1
T20120006377,1,3,100,2,1,1,1,0
T20120008096,1,3,100,2,3,1,1,1
T20120006319,1,3,100,5,0,1,1,0
T20120011619,3,3,50,1,2,1,1,1
T20120006480,1,3,60,2,1,1,1,1
T20120017942,1,3,70,1,1,1,1,1
T20120006624,1,2,70,2,2,1,1,0
T20120006408,1,3,100,5,0,1,1,1
T20120018627,5,3,100,5,0,1,1,1
T20120007466,1,3,40,5,0,1,1,1
T20120006906,1,3,60,5,1,1,0,0
T20120006435,5,2,80,5,0,1,1,1
T20120006433,1,2,60,1,2,1,1,0
T20120006430,1,2,60,5,1,1,1,1
T20120006429,1,2,50,5,0,1,1,1
T20120006425,1,3,60,5,2,1,1,1
T20120006420,1,3,60,5,1,1,1,1
T20120006418,1,3,50,5,3,1,1,0
T20120020835,1,3,70,1,1,1,0,0
T20120006372,1,3,70,5,0,1,1,0
T20120006362,1,3,60,5,2,1,1,1
T20120006360,1,3,50,2,0,1,1,1
T20120006386,1,3,50,2,1,1,1,1
T20120006381,1,2,70,5,1,1,1,1
T20120007014,4,3,100,5,1,1,1,1
T20120006389,2,3,80,2,1,1,1,1
T20120007058,1,3,60,1,1,1,1,0
T20120006431,3,2,60,1,1,1,1,0
T20120006436,2,3,100,5,5,1,1,1
T20120006439,1,1,80,5,1,1,1,1
T20120006353,3,2,80,2,0,1,1,0
T20120006441,5,3,70,5,3,1,1,1
T20120006443,1,3,60,1,1,1,1,0
T20120006384,1,2,60,2,1,1,1,1
T20120006355,3,3,100,5,0,1,1,1
T20120006444,3,2,50,1,4,1,1,1
T20120006382,1,3,90,5,1,1,1,1
T20120006352,3,3,50,5,3,1,1,1
T20120006492,1,1,100,5,0,1,1,1
T20120007130,1,3,80,1,1,1,1,0
T20120006577,1,3,50,2,0,1,1,1
T20120006627,4,2,70,1,4,1,1,0
T20120006591,1,3,60,5,1,1,1,1
T20120006490,5,2,40,5,0,1,1,0
T20120008919,5,3,40,1,1,1,1,1
T20120017057,1,3,0,5,0,1,1,1
T20120008077,2,3,60,5,0,1,1,1
T20120006487,1,2,70,5,0,1,1,1
T20120006486,1,3,60,2,1,1,0,0
T20120006485,1,2,100,5,0,1,1,1
T20120006484,1,2,80,5,1,1,1,0
T20120006477,1,2,80,5,1,1,0,0
T20120006476,1,3,50,5,1,1,1,1
T20120006470,1,3,60,1,2,1,1,1
T20120006469,1,3,100,5,0,1,0,0
T20120006467,1,2,60,5,1,1,1,1
T20120006697,1,2,60,5,0,1,1,1
T20120006458,1,3,60,2,2,1,1,0
T20120006505,3,3,50,1,3,1,1,1
T20120006506,3,2,50,5,0,1,1,1
T20120006508,3,3,60,1,0,1,1,0
T20120006451,3,2,60,5,0,1,1,1
T20120006510,3,2,60,2,3,1,1,1
T20120006449,3,3,50,1,2,1,1,1
T20120006448,5,2,100,5,0,1,1,1
T20120013543,1,3,70,2,1,1,1,1
T20120006536,1,3,50,5,2,1,1,1
T20120006538,1,3,60,5,0,1,1,1
T20120006503,1,2,80,1,0,1,0,0
T20120006502,1,3,80,2,1,1,1,1
T20120006500,1,2,50,5,1,1,1,0
T20120006718,1,3,80,5,2,1,1,1
T20120006727,1,3,100,5,0,1,1,1
T20120006542,1,2,80,2,0,1,1,0
T20120006675,3,1,60,5,1,1,1,1
T20120006543,5,2,100,4,0,1,1,0
T20120006495,3,2,60,1,1,1,1,1
T20120006551,1,3,0,5,0,1,1,1
T20120011503,1,3,100,2,1,1,1,1
T20120014336,1,3,50,2,0,1,1,0
T20120006678,3,3,50,5,1,1,1,0
T20120006516,3,3,60,5,1,1,1,1
T20120006541,1,2,100,5,0,1,1,1
T20120006603,1,3,60,5,0,1,1,1
T20120008219,1,2,70,5,0,1,1,1
T20120006539,1,2,70,1,2,1,1,1
T20120006616,1,3,100,2,1,1,1,1
T20120006559,1,3,50,1,2,1,1,0
T20120006560,1,2,60,2,1,1,1,1
T20120006561,1,3,60,1,1,1,1,1
T20120006563,1,3,80,5,0,1,1,1
T20120006564,5,3,70,5,4,1,1,1
T20120006568,1,3,100,5,0,1,1,1
T20120006575,3,1,70,2,1,1,1,1
T20120007022,5,3,50,5,1,1,1,1
T20120006540,1,2,110,5,1,1,1,1
T20120006758,3,3,50,2,0,1,1,1
T20120006553,3,3,60,2,1,1,1,1
T20120006552,1,3,80,1,1,1,1,1
T20120006511,3,2,100,5,0,1,1,0
T20120006513,5,2,100,2,0,1,1,0
T20120006515,3,2,50,2,1,1,0,0
T20120006550,1,2,100,1,0,1,1,1
T20120006545,1,2,80,5,3,1,1,1
T20120006549,1,3,60,5,3,1,1,1
T20120006546,1,2,60,2,0,1,1,0
T20120006534,1,2,60,2,2,1,1,1
T20120006530,3,1,60,5,0,1,1,0
T20120006528,3,3,50,5,0,1,1,1
T20120006524,3,3,100,5,1,1,1,1
T20120006521,3,2,60,2,1,1,1,1
T20120006593,3,3,70,1,3,1,1,1
T20120006518,3,3,80,2,1,1,1,0
T20120006674,1,3,60,5,1,1,0,0
T20120006628,1,3,60,2,1,1,1,0
T20120006654,1,3,110,5,0,1,1,1
T20120009351,5,2,100,5,0,1,1,0
T20120010812,4,3,100,5,0,1,1,0
T20120006920,1,3,60,2,1,1,1,0
T20120006907,1,3,80,2,2,1,0,0
T20120006681,3,3,70,2,1,1,1,0
T20120006653,2,2,50,2,1,1,1,0
T20120006598,1,3,40,1,2,1,1,1
T20120006633,1,2,40,1,1,1,1,0
T20120006578,1,2,100,5,3,1,1,0
T20120006579,1,3,50,1,1,1,1,0
T20120006582,1,3,40,2,1,1,1,0
T20120006585,1,3,80,5,1,1,1,1
T20120006586,1,2,60,5,0,1,1,1
T20120006635,1,2,60,2,0,1,1,1
T20120006587,1,2,60,5,0,1,1,0
T20120006588,1,3,60,2,1,1,1,1
T20120006735,1,3,60,1,3,1,1,1
T20120006589,1,2,100,2,4,1,1,1
T20120006660,3,3,50,1,1,1,1,0
T20120015311,0,3,60,1,1,1,1,1
T20120006592,1,3,60,2,1,1,1,1
