ACCIDENT_NO,LIGHT_CONDITION,SEVERITY,SPEED_ZONE,ROAD_GEOMETRY,NO_PERSONS_NOT_INJ,LICENCE_STATE,SEATING_POSITION,HELMET_BELT_WORN
T20120000375,1,3,100,5,0,1,1,0
T20120002355,1,3,60,2,2,1,1,0
T20120000371,1,2,50,2,1,1,1,0
T20120000461,1,2,50,2,0,1,1,1
T20120000400,3,3,80,5,0,1,1,1
T20120000367,1,3,60,4,1,1,1,1
T20120000396,1,2,60,5,2,1,1,1
T20120000800,1,3,100,5,0,1,1,1
T20120000391,1,3,50,1,1,1,1,0
T20120000334,3,3,60,2,1,1,1,1
T20120000338,3,2,60,5,3,1,0,0
T20120000342,2,2,100,5,1,1,1,1
T20120000645,1,2,80,5,1,1,1,1
T20120000650,1,3,50,4,1,1,1,1
T20120000390,1,3,80,5,1,1,1,1
T20120000477,3,3,60,1,0,1,1,0
T20120002415,1,3,60,2,0,1,1,0
T20120000356,1,2,80,5,0,1,0,1
T20120000388,1,2,80,5,0,1,1,0
T20120001550,1,2,60,5,1,1,1,1
T20120001116,1,2,80,2,2,1,1,0
T20120007894,1,3,60,2,1,1,1,1
T20120001190,1,3,80,1,1,1,1,1
T20120000429,1,3,100,2,0,1,1,1
T20120000428,2,3,60,5,0,1,1,1
T20120000425,1,3,70,5,3,1,0,0
T20120000382,1,3,50,5,0,1,1,0
T20120000434,1,3,60,5,1,1,1,1
T20120000417,2,2,60,1,1,1,1,0
T20120000465,1,3,60,2,2,1,1,1
T20120000447,1,3,100,5,0,1,1,1
T20120000436,1,3,60,5,10,1,1,0
T20120000560,1,2,100,2,0,1,1,1
T20120000466,1,3,80,5,0,1,0,0
T20120000944,1,3,60,2,1,1,1,0
T20120000435,1,2,80,4,1,1,1,1
T20120013625,1,3,60,2,1,1,1,1
T20120000833,1,2,100,2,2,1,1,0
T20120000475,3,2,60,5,2,1,1,1
T20120000501,1,3,100,5,0,1,1,0
T20120000925,1,3,60,1,1,1,1,0
T20120000458,1,1,100,5,0,1,1,0
T20120004943,5,3,100,5,0,1,1,0
T20120000476,3,2,80,5,0,1,1,0
T20120000457,1,3,60,1,1,1,1,1
T20120000453,1,3,110,5,0,1,1,0
T20120000452,1,3,80,2,2,1,1,1
T20120000449,1,3,70,5,1,1,1,1
T20120000403,5,2,100,5,1,1,1,0
T20120000404,3,3,60,1,1,1,1,1
T20120000410,5,2,100,5,1,1,1,1
T20120000411,3,2,60,1,3,1,1,1
T20120000414,3,3,60,2,0,1,1,0
T20120000422,1,2,50,5,1,1,1,0
T20120000427,1,3,60,1,2,1,1,0
T20120000430,1,2,60,5,3,1,0,0
T20120000431,1,3,60,5,5,1,0,0
T20120000433,1,3,80,2,0,1,1,1
T20120000541,3,2,60,1,3,1,0,0
T20120000540,2,3,60,1,1,1,1,0
T20120000506,1,3,50,1,1,1,1,1
T20120000507,1,3,60,1,6,1,1,0
T20120000510,1,2,60,2,0,1,1,1
T20120000519,1,3,100,5,0,1,1,1
T20120000527,1,3,70,1,0,1,1,1
T20120000539,2,3,60,2,1,1,1,1
T20120000529,1,3,80,1,1,1,1,1
T20120003896,1,3,60,5,0,1,1,0
