ACCIDENT_NO,SEVERITY,SPEED_ZONE,ROAD_GEOMETRY,NO_PERSONS_NOT_INJ,LICENCE_STATE,SEATING_POSITION,HELMET_BELT_WORN,TAKEN_HOSPITAL,MEDIAN_AGE_GROUP,DAY_OF_WEEK,NO_OF_VEHICLES,NO_PERSONS,AGG_LIGH_SURF_ATMOS_COND,VEHICLE_YEAR_MANUF,VEHICLE_FUEL_TYPE,VEHICLES_TARE_WEIGHT,AGG_ROAD_SURFACE_TYPE,CAUGHT_FIRE,HIGHEST_LEVEL_OF_DAMAGE
T20120003283,SERIOUS,60,5,0,1,2,1,1.0,40-64,6,1,1,1.0,2011,P,1270.0,1,2,4
T20120003285,SERIOUS,50,5,1,1,2,1,1.0,40-64,7,1,3,1.67,1998,P,1150.0,1,2,4
T20120003292,OTHER,100,5,3,1,2,1,0.0,26-39,7,2,4,1.0,1993,P,1625.0,1,2,2
T20120003295,OTHER,60,5,1,1,2,0,0.0,26-39,7,1,2,1.33,2000,P,1650.0,1,2,3
T20120003296,OTHER,60,5,2,1,2,0,1.0,26-39,4,3,3,0.33,1998,P,1101.0,1,2,1
T20120003297,SERIOUS,80,2,1,1,2,0,0.0,26-39,7,2,3,1.0,1995,P,1400.0,1,2,4
T20120003299,OTHER,60,5,2,1,2,0,1.0,40-64,7,2,3,1.33,1999,D,1947.0,1,2,3
T20120003301,OTHER,60,5,0,1,2,1,1.0,40-64,7,1,1,1.0,2009,P,1260.0,1,2,3
T20120003302,OTHER,60,2,1,1,2,1,0.0,40-64,4,2,2,1.33,1991,P,1102.0,1,2,0
T20120003303,SERIOUS,90,1,2,1,2,1,0.0,26-39,7,2,3,1.0,2006,P,1337.0,1,2,1
T20120003304,SERIOUS,50,5,0,1,2,0,0.0,17-25,7,1,2,1.0,2000,P,1415.0,3,2,5
T20120003305,OTHER,60,1,2,1,2,0,0.0,26-39,6,2,3,1.67,2009,P,960.0,1,2,1
T20120003306,OTHER,70,2,1,1,2,0,1.0,40-64,7,2,2,1.67,2001,P,1890.0,1,2,3
T20120003308,OTHER,60,2,4,1,2,1,1.0,40-64,7,2,5,1.33,1993,M,1614.0,1,2,3
T20120003309,OTHER,70,5,7,1,2,1,1.0,26-39,7,3,9,0.33,1997,P,1400.0,1,2,1
T20120003312,OTHER,60,5,1,1,2,0,0.0,17-25,7,1,2,1.67,2003,M,1950.0,1,2,0
T20120003313,OTHER,60,1,1,1,2,1,0.0,40-64,7,2,2,1.0,2001,D,1162.0,1,2,1
T20120003314,OTHER,50,5,1,1,2,0,1.0,40-64,7,2,2,1.33,2009,P,1450.0,1,2,1
T20120003317,OTHER,80,2,2,1,2,0,1.0,40-64,7,3,3,1.0,1998,D,1386.0,1,2,3
T20120003326,OTHER,80,5,0,1,2,1,0.0,40-64,7,1,1,2.67,1997,P,1300.0,1,2,3
T20120003327,SERIOUS,60,2,0,1,2,0,0.0,40-64,7,2,1,1.0,1996,P,1336.0,1,2,4
T20120003328,SERIOUS,70,1,1,1,2,0,1.0,26-39,7,2,3,2.33,2003,P,4900.0,1,2,3
T20120003332,OTHER,60,2,1,1,2,1,0.0,40-64,3,2,3,0.33,1999,P,1295.0,1,2,1
T20120003334,SERIOUS,100,5,0,1,2,0,1.0,40-64,7,2,3,1.0,2004,M,1490.0,1,2,5
T20120003335,OTHER,70,5,1,1,2,1,0.0,40-64,6,2,2,1.0,1995,P,1405.0,1,2,2
T20120003336,OTHER,60,5,0,1,2,1,1.0,65+,7,1,1,1.0,2002,P,750.0,1,2,3
T20120003337,OTHER,100,5,0,1,2,0,0.0,40-64,6,1,1,2.33,2009,D,10250.0,1,2,4
T20120003338,SERIOUS,100,5,0,1,2,1,0.0,26-39,7,1,1,1.0,1988,P,1300.0,1,2,4
T20120003343,OTHER,60,5,1,1,2,0,1.0,40-64,6,2,2,1.0,1979,P,1361.0,1,2,1
T20120003345,SERIOUS,60,2,1,1,1,1,1.0,40-64,7,2,2,1.0,1985,P,1175.0,1,2,2
T20120003346,OTHER,60,5,1,1,2,0,0.0,40-64,7,2,2,2.33,1996,P,1300.0,1,2,1
T20120003349,SERIOUS,50,5,1,1,2,0,1.0,40-64,7,1,2,2.0,2003,P,1690.0,1,2,4
T20120003350,OTHER,50,5,0,1,2,1,0.0,26-39,7,1,1,1.67,2006,P,1116.0,1,2,4
T20120003352,SERIOUS,80,1,0,1,2,1,1.0,17-25,7,2,2,2.33,1993,P,1148.0,1,2,4
T20120003357,OTHER,60,2,11,1,2,1,0.0,40-64,1,4,13,1.67,1999,P,3980.0,1,2,2
T20120003360,OTHER,40,5,1,1,1,0,0.0,40-64,7,2,2,1.0,2003,G,1275.0,1,2,1
T20120003361,OTHER,60,5,0,1,2,1,0.0,26-39,1,1,1,1.67,1975,M,1300.0,1,2,5
T20120003362,SERIOUS,50,2,0,1,2,1,1.0,26-39,1,1,1,1.67,2003,P,1300.0,1,2,4
T20120003363,SERIOUS,60,5,1,1,2,0,0.0,40-64,7,2,3,1.0,2001,P,1186.0,1,2,4
T20120003369,OTHER,50,1,1,1,2,0,0.0,40-64,7,2,2,1.67,2001,P,751.0,1,2,2
T20120003371,SERIOUS,100,5,0,1,2,1,0.0,26-39,7,1,1,1.33,1994,P,1500.0,3,2,5
T20120003372,SERIOUS,100,5,0,1,1,0,1.0,17-25,7,1,1,1.0,2004,P,2990.0,1,2,2
T20120003374,SERIOUS,50,2,0,1,2,0,1.0,40-64,1,1,2,1.0,2007,P,1160.0,1,2,2
T20120003375,OTHER,100,1,0,1,2,1,0.0,65+,6,2,3,1.67,1993,P,1325.0,1,2,2
T20120003380,SERIOUS,50,5,1,1,2,1,0.0,26-39,1,3,4,1.0,2004,P,1348.0,1,2,4
T20120003381,SERIOUS,110,1,1,1,2,1,0.0,26-39,1,2,3,1.0,1997,D,1827.0,1,2,5
T20120003384,SERIOUS,80,2,5,1,2,1,0.0,26-39,1,3,7,1.0,1995,P,1455.0,1,2,5
T20120003385,SERIOUS,80,5,2,1,2,1,0.0,40-64,1,2,3,1.0,2005,P,1496.0,1,2,3
T20120003386,OTHER,60,5,1,1,2,0,1.0,17-25,2,2,2,1.0,2002,P,1293.0,1,2,1
T20120003387,OTHER,60,4,2,1,2,0,0.0,17-25,1,2,3,1.0,1996,M,2023.0,1,2,3
T20120003394,OTHER,60,5,0,1,2,1,1.0,26-39,2,1,2,2.0,1992,P,1400.0,1,2,5
T20120003396,SERIOUS,50,1,2,1,2,0,1.0,40-64,1,2,3,1.33,1995,P,1390.0,1,2,2
T20120003397,SERIOUS,100,5,0,1,2,0,0.0,40-64,1,1,1,1.67,2009,P,950.0,3,2,2
T20120003398,SERIOUS,100,2,0,1,2,1,1.0,26-39,1,1,1,1.0,2007,P,1295.0,1,2,2
T20120003399,OTHER,70,1,1,1,2,1,1.0,17-25,1,2,2,1.67,1987,P,1271.0,1,2,1
T20120003400,SERIOUS,100,5,1,1,1,0,1.0,26-39,5,2,2,1.0,1996,P,777.0,3,2,1
T20120003402,SERIOUS,60,2,0,1,2,0,1.0,26-39,1,1,1,1.0,2001,P,1580.0,1,2,4
T20120003403,SERIOUS,70,5,1,1,2,0,1.0,65+,1,1,2,1.33,2007,P,1670.0,2,2,0
T20120003408,SERIOUS,80,5,1,1,2,0,1.0,65+,1,2,3,1.0,1988,P,1250.0,1,2,1
T20120003409,SERIOUS,50,1,0,1,2,1,0.0,40-64,1,2,3,1.0,1992,P,1325.0,1,2,1
T20120003415,OTHER,50,1,2,1,2,0,1.0,40-64,1,1,3,1.67,2000,P,1512.0,1,2,2
T20120003423,OTHER,60,5,3,1,2,0,1.0,40-64,6,3,4,1.0,1999,D,4785.0,1,2,1
T20120003424,SERIOUS,60,5,0,1,1,0,0.0,Under 16,2,1,1,1.67,2005,P,1700.0,1,2,5
T20120003425,OTHER,50,2,1,1,2,1,0.0,40-64,2,2,2,1.0,1987,D,1537.0,1,2,1
T20120003432,OTHER,60,2,2,1,2,1,1.0,40-64,2,2,3,1.0,1999,D,862.0,1,2,1
T20120003433,OTHER,80,1,1,1,2,1,1.0,65+,7,2,2,0.67,2007,P,1569.0,1,2,1
T20120003434,OTHER,60,4,1,1,2,0,1.0,26-39,2,2,2,1.33,1999,D,873.0,1,2,0
T20120003439,SERIOUS,50,1,1,1,2,1,1.0,17-25,2,2,2,1.0,2002,G,1528.0,1,2,3
T20120003440,SERIOUS,50,5,1,1,2,1,0.0,65+,7,2,2,1.67,1992,D,2974.0,1,2,1
T20120003443,SERIOUS,40,5,2,1,2,1,0.0,40-64,1,2,4,1.0,1997,D,4747.0,1,2,1
T20120003445,OTHER,70,5,1,1,2,1,1.0,40-64,5,2,2,1.0,2009,P,1445.0,1,2,2
T20120003447,OTHER,100,5,0,1,2,1,1.0,17-25,2,1,1,1.0,2000,M,1600.0,1,2,5
T20120003448,OTHER,70,5,0,1,2,0,1.0,40-64,1,1,1,0.33,2001,P,1785.0,3,2,2
T20120003449,OTHER,60,1,2,1,2,1,0.0,40-64,2,2,3,1.0,1991,G,1352.0,1,2,3
T20120003450,OTHER,50,5,0,1,2,1,1.0,40-64,2,2,1,1.0,2004,P,1180.0,1,2,4
T20120003451,FATAL,80,5,0,1,1,1,0.0,Under 16,2,1,1,0.67,1994,P,1450.0,1,2,4
T20120003452,OTHER,100,5,1,1,2,1,0.0,26-39,2,1,2,1.0,2002,M,1620.0,1,2,0
T20120003453,OTHER,100,5,0,1,2,0,1.0,40-64,7,1,1,1.0,1994,P,800.0,3,2,3
T20120003464,OTHER,80,5,0,1,2,1,1.0,17-25,7,1,1,1.0,2010,P,1410.0,2,2,0
T20120003465,OTHER,70,2,0,1,2,1,0.0,40-64,5,1,1,0.67,1992,P,0.0,1,2,1
T20120003466,OTHER,50,5,0,1,2,1,1.0,65+,5,1,1,0.67,2010,P,1300.0,1,2,1
T20120003467,SERIOUS,50,2,1,1,2,1,1.0,26-39,2,1,2,1.0,2005,D,1739.0,1,2,0
T20120003468,OTHER,100,2,1,1,2,1,0.0,40-64,6,2,2,1.0,1989,D,1500.0,1,2,1
T20120003469,SERIOUS,100,5,0,1,2,1,1.0,26-39,2,1,2,1.0,2006,M,1856.0,1,2,5
T20120003471,SERIOUS,50,5,1,1,2,1,1.0,17-25,5,2,2,1.0,1999,D,2763.0,1,2,0
T20120003475,OTHER,60,2,1,1,2,0,1.0,40-64,2,2,5,1.0,1994,P,1425.0,1,2,4
T20120003476,OTHER,70,5,2,1,2,1,1.0,26-39,7,2,3,1.67,1996,P,1399.0,1,2,1
T20120003478,OTHER,50,1,1,1,2,1,1.0,26-39,2,2,2,1.0,2001,P,1417.0,1,2,4
T20120003482,OTHER,60,5,0,1,2,0,1.0,26-39,2,2,2,1.0,1995,P,1129.0,1,2,2
T20120003485,OTHER,60,2,2,1,2,1,1.0,17-25,2,3,4,1.0,2006,P,1523.0,1,2,3
T20120003486,OTHER,60,2,1,1,2,1,1.0,40-64,2,2,2,1.0,1986,P,4860.0,1,2,4
T20120003487,OTHER,80,5,0,1,2,1,0.0,40-64,2,1,1,1.67,2000,P,1000.0,1,2,2
T20120003490,OTHER,100,5,1,1,2,0,1.0,17-25,2,2,2,1.0,2002,D,1857.0,1,2,1
T20120003493,SERIOUS,60,1,3,1,1,1,1.0,Under 16,2,3,5,1.0,1994,P,1462.0,1,2,4
T20120003494,OTHER,100,5,0,1,2,0,1.0,40-64,2,1,1,1.0,2005,M,1500.0,1,2,5
T20120003496,OTHER,50,1,1,1,2,1,1.0,17-25,2,2,2,1.0,1993,P,1152.0,1,2,3
T20120003499,FATAL,100,2,0,1,2,1,1.0,26-39,2,2,2,1.0,1995,P,1455.0,1,1,5
T20120003500,SERIOUS,80,2,12,1,2,1,1.0,40-64,2,2,14,1.67,1995,P,1208.0,1,2,4
T20120003503,SERIOUS,60,2,0,1,1,1,1.0,40-64,3,1,1,1.67,2002,P,970.0,1,2,5
T20120003510,SERIOUS,80,5,0,1,2,0,0.0,26-39,2,1,1,2.33,2000,P,900.0,1,2,4
T20120003511,SERIOUS,90,2,0,1,2,0,0.0,26-39,3,1,1,1.0,1984,D,2050.0,1,2,5
T20120003512,SERIOUS,50,5,0,1,2,0,1.0,40-64,1,1,2,1.67,2008,P,1694.0,1,2,4
T20120003513,OTHER,100,5,1,1,2,1,0.0,26-39,2,1,2,2.33,2002,D,2425.0,1,2,5
T20120003516,OTHER,50,1,0,1,2,1,1.0,40-64,3,2,2,1.0,2003,P,1454.0,1,2,3
T20120003521,OTHER,50,2,1,1,2,0,0.0,26-39,6,2,2,1.0,1991,P,1431.0,1,2,1
T20120003528,OTHER,50,1,1,1,2,0,0.0,40-64,2,1,2,1.0,1993,P,1300.0,1,2,0
T20120003529,OTHER,80,5,1,1,2,1,0.0,40-64,2,2,2,1.0,1998,D,4330.0,1,2,0
T20120003531,OTHER,70,5,2,1,1,0,1.0,26-39,2,2,3,1.0,1985,P,1082.0,1,2,4
T20120003538,SERIOUS,50,5,1,1,2,1,0.0,65+,3,2,2,1.0,2001,P,1725.0,1,2,2
T20120003540,OTHER,60,2,1,1,2,1,1.0,17-25,3,2,2,1.0,1995,P,1272.0,1,2,1
T20120003542,FATAL,100,5,0,1,1,0,1.0,17-25,2,2,6,0.67,1997,P,1859.0,1,2,5
T20120003543,OTHER,100,5,3,1,2,0,1.0,65+,4,4,4,1.0,1993,D,4722.0,1,2,0
T20120003544,SERIOUS,100,5,1,1,2,0,1.0,26-39,3,2,2,1.0,1990,G,1325.0,3,2,4
T20120003546,OTHER,50,5,1,1,2,1,1.0,17-25,4,1,2,1.0,2001,P,1434.0,1,2,0
T20120003548,SERIOUS,60,1,1,1,1,1,0.0,40-64,1,1,2,1.67,2003,P,984.0,1,2,2
T20120003549,OTHER,60,2,1,1,2,0,1.0,40-64,3,2,2,1.0,1998,M,1347.0,1,2,3
T20120003550,SERIOUS,50,1,1,1,2,0,0.0,26-39,2,2,2,1.0,1995,P,1350.0,1,2,1
T20120003553,OTHER,50,2,5,1,2,0,1.0,65+,3,4,6,1.0,2001,P,1344.0,1,2,2
T20120003556,OTHER,60,1,2,1,2,0,0.0,40-64,3,2,5,1.0,1995,G,1435.0,1,2,1
T20120003559,OTHER,50,5,0,1,2,1,1.0,40-64,3,2,2,1.0,1998,M,1525.0,1,2,4
T20120003560,OTHER,60,2,1,1,2,1,1.0,17-25,3,2,2,1.0,2001,D,1589.0,1,2,1
T20120003561,OTHER,60,1,1,1,2,0,1.0,17-25,2,1,2,1.0,2010,D,1920.0,1,2,0
T20120003563,SERIOUS,60,1,1,1,2,1,0.0,40-64,3,3,3,1.0,1998,P,1403.0,1,2,2
T20120003564,SERIOUS,50,5,2,1,2,1,1.0,17-25,3,2,3,1.0,2005,G,1475.0,1,2,0
T20120003566,SERIOUS,60,1,0,1,2,1,0.0,26-39,3,2,6,1.0,2001,P,1200.0,1,2,5
T20120003567,SERIOUS,60,1,1,1,2,1,1.0,26-39,3,2,2,1.0,2002,P,1379.0,1,2,2
T20120003569,OTHER,80,5,0,1,2,0,0.0,40-64,3,1,1,1.0,1995,M,1500.0,1,2,4
T20120003571,SERIOUS,50,5,1,1,2,0,1.0,26-39,3,1,2,1.0,2010,P,1446.0,1,2,0
T20120003573,SERIOUS,110,5,0,1,2,1,1.0,65+,3,1,1,1.67,2009,P,1985.0,1,2,5
T20120003574,SERIOUS,60,5,1,1,2,0,1.0,26-39,3,2,2,0.33,2002,P,1350.0,1,2,2
T20120003575,SERIOUS,70,2,0,1,2,0,1.0,17-25,3,3,3,1.0,1999,P,1280.0,1,1,5
T20120003577,OTHER,60,5,0,1,2,1,1.0,40-64,3,2,2,1.0,1999,D,1602.0,1,2,1
T20120003579,OTHER,60,5,1,1,1,0,0.0,65+,3,2,2,1.33,1998,M,1625.0,1,2,1
T20120003580,OTHER,60,5,1,1,2,0,1.0,17-25,2,2,2,1.33,1999,P,0.0,1,2,0
T20120003581,SERIOUS,80,5,1,1,1,1,1.0,Under 16,3,2,2,1.33,1993,P,1407.0,1,2,1
T20120003583,OTHER,70,1,1,1,2,0,1.0,40-64,2,2,2,1.33,2000,P,1277.0,1,2,1
T20120003584,OTHER,70,2,2,1,2,1,1.0,26-39,3,2,3,1.67,1995,P,1639.0,1,2,2
T20120003585,OTHER,60,1,2,1,2,0,0.0,65+,3,3,3,1.67,2011,P,1475.0,1,2,3
T20120003587,SERIOUS,50,2,0,1,2,0,1.0,26-39,3,1,1,1.0,2010,P,1130.0,1,2,4
T20120003592,OTHER,50,5,1,1,2,0,0.0,40-64,4,2,2,1.0,2000,D,1830.0,1,2,0
T20120003593,OTHER,70,1,1,1,1,1,1.0,26-39,4,2,2,1.67,1999,P,1398.0,1,2,3
T20120003595,SERIOUS,80,5,0,1,1,1,0.0,Under 16,4,1,1,1.0,2002,P,1400.0,1,2,4
T20120003599,SERIOUS,100,5,0,1,2,0,1.0,40-64,3,1,1,1.0,2009,D,1694.0,1,2,1
T20120003600,SERIOUS,100,5,0,1,2,0,0.0,17-25,3,2,1,2.33,1996,D,1530.0,1,2,2
T20120003601,SERIOUS,50,5,2,1,2,0,0.0,65+,4,3,3,1.0,2008,P,4760.0,1,2,0
T20120003603,OTHER,60,5,0,1,2,0,0.0,17-25,4,1,1,1.0,2008,D,9500.0,1,2,4
T20120003609,OTHER,60,1,1,1,2,0,1.0,40-64,4,2,2,1.0,2000,P,1275.0,1,2,3
T20120003610,OTHER,50,5,1,1,1,0,1.0,26-39,4,2,2,0.33,2004,P,1398.0,1,2,0
T20120003611,SERIOUS,100,5,4,1,2,1,0.0,26-39,4,5,5,1.0,2011,P,1411.0,1,2,3
T20120003619,OTHER,40,1,1,1,2,1,1.0,40-64,4,2,2,1.67,2009,G,1822.0,1,2,3
T20120003625,OTHER,60,5,1,1,2,1,1.0,40-64,4,2,2,1.0,1985,P,1250.0,1,2,2
T20120003626,SERIOUS,60,1,1,1,2,1,0.0,17-25,4,2,2,0.67,2001,D,1392.0,1,2,2
T20120003627,SERIOUS,100,2,0,1,2,1,1.0,40-64,1,1,1,3.0,2001,P,1150.0,1,2,4
T20120003631,OTHER,70,5,6,1,2,1,1.0,40-64,4,8,8,1.0,2009,P,1606.0,1,2,2
T20120003632,OTHER,70,5,0,1,1,1,0.0,Under 16,7,1,1,1.0,2006,P,1432.0,3,2,1
T20120003634,SERIOUS,80,5,0,1,1,1,0.0,26-39,2,1,1,2.33,1994,P,1000.0,1,2,5
T20120003637,OTHER,60,5,0,1,1,0,1.0,17-25,4,2,3,1.0,1996,P,1450.0,1,2,2
T20120003639,OTHER,60,2,0,1,1,0,1.0,26-39,4,1,1,1.33,2008,P,1200.0,1,2,1
T20120003640,SERIOUS,60,2,1,1,1,1,0.0,Under 16,2,2,2,1.0,1998,P,1387.0,1,2,1
T20120003641,OTHER,50,1,1,1,2,1,0.0,17-25,4,2,2,1.0,1998,P,1271.0,1,2,1
T20120003642,SERIOUS,100,5,1,1,2,1,1.0,26-39,3,2,2,1.0,1990,M,1450.0,1,2,1
T20120003643,OTHER,50,2,0,1,2,0,0.0,40-64,4,1,2,1.0,1992,P,1000.0,1,2,4
T20120003646,SERIOUS,100,5,0,1,2,1,0.0,40-64,4,1,1,1.0,2008,E,8690.0,1,2,5
T20120003650,SERIOUS,80,5,0,1,2,0,0.0,17-25,4,1,1,1.0,2009,P,1400.0,1,2,3
T20120003651,SERIOUS,60,1,1,1,1,0,1.0,65+,4,2,3,1.0,2003,D,4717.0,1,2,3
T20120003652,OTHER,60,5,1,1,2,1,1.0,65+,4,2,2,2.0,1994,P,1678.0,1,2,0
T20120003653,SERIOUS,40,5,1,1,2,1,1.0,65+,4,2,3,1.67,2006,D,1320.0,1,2,2
T20120003658,FATAL,100,5,0,1,2,1,0.0,40-64,4,1,1,2.33,1999,P,1900.0,1,2,4
T20120003662,OTHER,50,2,0,1,2,1,0.0,26-39,5,1,1,1.67,1990,P,750.0,1,2,4
T20120003664,OTHER,60,5,1,1,2,0,0.0,40-64,5,2,2,1.67,1998,M,1397.0,1,2,3
T20120003666,SERIOUS,60,1,1,1,2,0,1.0,40-64,3,1,2,1.0,1993,P,1750.0,1,2,1
T20120003667,OTHER,60,1,0,1,2,1,0.0,65+,5,2,2,1.33,1997,P,1525.0,3,2,1
T20120003673,OTHER,60,2,0,1,1,1,1.0,65+,5,1,1,1.67,2003,D,1040.0,1,2,2
T20120003677,SERIOUS,50,1,1,1,2,0,1.0,40-64,4,2,2,1.0,2004,P,1876.0,1,2,1
T20120003679,OTHER,100,5,0,1,2,1,1.0,40-64,4,1,1,1.33,2007,P,2140.0,1,2,1
T20120003681,OTHER,100,5,2,1,2,1,0.0,17-25,5,2,3,1.0,1994,D,1700.0,1,2,4
T20120003682,OTHER,100,5,0,1,2,1,1.0,40-64,7,1,1,1.0,2012,P,950.0,3,2,0
T20120003683,OTHER,70,1,0,1,2,0,0.0,26-39,5,2,2,1.0,2001,P,1062.0,1,2,4
T20120003684,OTHER,60,1,1,1,2,1,1.0,26-39,3,2,2,1.67,1999,P,1552.0,1,2,2
T20120003686,OTHER,50,5,1,1,2,0,1.0,40-64,5,2,2,1.0,1998,P,1194.0,1,2,1
T20120003687,OTHER,50,1,0,1,2,0,0.0,40-64,4,1,1,1.0,2000,P,0.0,1,2,3
T20120003690,OTHER,50,2,1,1,2,0,0.0,65+,5,2,2,1.0,1996,P,1150.0,1,2,3
T20120003692,FATAL,60,1,1,1,2,0,1.0,26-39,5,2,2,1.33,2004,P,1326.0,1,2,3
T20120003698,OTHER,60,2,1,1,2,1,1.0,40-64,5,2,2,1.0,2006,P,1815.0,1,2,2
T20120003700,OTHER,60,2,2,1,2,1,1.0,40-64,4,2,3,1.0,1996,P,1224.0,1,2,3
T20120003701,OTHER,60,5,1,1,2,1,1.0,65+,4,1,2,1.0,1996,P,1347.0,1,2,2
T20120003704,OTHER,60,5,1,1,2,1,1.0,65+,4,2,2,0.67,1999,P,0.0,1,2,0
T20120003705,OTHER,60,2,0,1,2,1,1.0,26-39,2,2,2,1.0,1999,D,2852.0,1,2,1
T20120003710,OTHER,80,5,0,1,2,1,1.0,17-25,5,1,1,1.0,2010,D,10300.0,3,2,4
T20120003712,OTHER,80,5,1,1,1,0,0.0,40-64,5,3,3,1.0,2003,P,1603.0,1,2,3
T20120003714,OTHER,50,5,0,1,2,0,1.0,26-39,4,1,1,0.67,1999,P,1694.0,1,2,1
T20120003716,SERIOUS,80,5,1,1,2,1,0.0,17-25,4,2,2,1.0,1990,P,1300.0,1,2,2
T20120003717,FATAL,100,5,1,1,2,1,1.0,40-64,5,2,2,2.33,2006,G,1600.0,1,2,5
T20120003718,OTHER,70,5,6,1,2,0,1.0,26-39,5,3,7,1.0,2003,P,1548.0,1,2,1
T20120003723,OTHER,100,2,0,1,2,1,1.0,26-39,5,1,2,1.0,2000,P,1200.0,3,2,4
T20120003724,OTHER,80,1,3,1,2,1,1.0,26-39,5,3,4,1.0,1999,M,1431.0,1,2,3
T20120003725,SERIOUS,50,1,1,1,2,1,1.0,17-25,5,2,2,1.0,1988,D,1815.0,1,2,1
T20120003727,OTHER,70,2,1,1,2,1,1.0,40-64,2,1,2,1.0,2010,P,1055.0,1,2,0
T20120003728,OTHER,60,5,0,1,1,1,1.0,Under 16,5,1,1,1.0,1998,D,9000.0,1,2,3
T20120003730,SERIOUS,100,1,0,1,2,1,0.0,26-39,3,2,2,1.0,2000,M,1628.0,1,2,4
T20120003731,OTHER,50,5,2,1,2,1,1.0,17-25,5,2,3,1.67,1990,P,1399.0,1,2,0
T20120003732,OTHER,50,5,1,1,1,1,0.0,Under 16,5,1,2,1.33,2009,P,1600.0,1,2,0
T20120003733,SERIOUS,50,5,0,1,2,0,1.0,65+,5,1,1,1.0,2000,P,1150.0,1,2,4
T20120003737,OTHER,70,2,1,1,2,1,0.0,65+,5,1,2,1.67,1992,P,1250.0,1,2,0
T20120003738,OTHER,60,5,0,1,1,0,0.0,40-64,5,2,2,1.67,1988,P,1325.0,1,2,4
T20120003739,OTHER,50,5,1,1,2,0,0.0,26-39,5,1,2,1.0,2011,P,1973.0,1,2,0
T20120003740,OTHER,60,5,2,1,2,1,0.0,17-25,5,2,3,1.67,1999,D,1847.0,1,2,2
T20120003742,SERIOUS,60,5,0,1,2,0,1.0,40-64,5,1,1,1.33,2009,P,1255.0,1,2,5
T20120003743,OTHER,70,5,1,1,2,1,1.0,40-64,5,1,2,1.33,2010,P,1330.0,1,2,1
T20120003746,OTHER,60,5,2,1,2,1,1.0,26-39,5,3,3,2.0,1998,P,1012.0,1,2,1
T20120003747,SERIOUS,80,5,1,1,2,1,0.0,17-25,5,2,2,1.33,2000,P,1232.0,1,2,2
T20120003750,OTHER,50,1,3,1,1,1,1.0,17-25,5,3,4,1.33,2002,P,1407.0,1,2,2
T20120003753,OTHER,100,5,0,1,2,1,0.0,40-64,5,2,2,1.0,1999,P,1379.0,1,2,3
T20120003757,SERIOUS,50,2,0,1,2,0,0.0,40-64,5,1,2,1.67,1997,P,900.0,1,2,4
T20120003758,OTHER,50,1,1,1,1,0,1.0,65+,5,1,2,1.33,1993,P,1300.0,1,2,2
T20120003759,OTHER,80,1,1,1,2,0,1.0,40-64,5,2,2,1.0,1999,D,3900.0,1,2,0
T20120003760,OTHER,60,5,0,1,2,0,1.0,26-39,5,1,1,1.67,2010,P,1500.0,1,2,1
T20120003765,OTHER,60,2,2,1,2,1,0.0,26-39,5,3,3,2.0,1996,P,1495.0,1,2,0
T20120003766,SERIOUS,110,5,13,1,2,0,1.0,26-39,5,16,17,2.67,2010,P,1443.0,1,2,2
T20120003768,OTHER,60,1,3,1,2,1,0.0,26-39,4,2,5,1.0,1993,D,1465.0,3,2,0
T20120003771,OTHER,50,5,0,1,1,1,1.0,Under 16,5,2,1,2.0,1996,P,1300.0,1,2,3
T20120003772,SERIOUS,80,5,0,1,2,1,1.0,65+,5,1,2,2.33,1998,M,1400.0,1,2,4
T20120003780,SERIOUS,100,5,1,1,1,1,0.0,40-64,5,1,2,2.33,2007,P,1805.0,1,2,1
T20120003781,SERIOUS,40,5,1,1,2,1,0.0,40-64,5,2,2,1.67,1995,M,1500.0,1,2,1
T20120003783,SERIOUS,110,5,0,1,2,0,0.0,17-25,6,1,3,2.33,1990,P,1300.0,1,2,5
T20120003785,SERIOUS,100,5,1,1,2,1,1.0,17-25,4,2,2,1.0,1999,P,1510.0,1,2,0
T20120003796,OTHER,70,5,1,1,2,0,1.0,26-39,4,2,2,1.0,2001,P,1360.0,1,2,1
T20120003798,OTHER,60,1,3,1,2,1,1.0,40-64,6,3,4,1.0,2001,P,1216.0,1,2,3
T20120003799,OTHER,60,5,1,1,2,1,1.0,17-25,6,2,2,1.0,1995,D,7120.0,1,2,1
T20120003800,OTHER,80,5,1,1,2,1,0.0,40-64,6,2,3,1.0,1996,P,1590.0,1,2,4
T20120003801,OTHER,80,1,1,1,2,0,1.0,26-39,6,2,2,1.33,1992,D,1697.0,1,2,1
T20120003802,OTHER,80,4,1,1,1,0,1.0,65+,6,2,4,1.0,1988,P,1710.0,1,2,3
T20120003803,SERIOUS,80,5,0,1,2,1,1.0,26-39,2,1,1,1.0,2005,P,172.0,3,2,2
T20120003808,OTHER,50,1,1,1,2,0,0.0,40-64,5,2,2,1.67,2009,P,1035.0,1,2,0
T20120003809,OTHER,40,5,0,1,2,1,0.0,26-39,5,1,1,1.67,2010,P,2364.0,3,2,1
T20120003810,SERIOUS,80,2,0,1,2,0,1.0,26-39,6,1,1,1.67,2011,D,1900.0,3,2,4
T20120003814,SERIOUS,60,2,1,1,1,1,0.0,Under 16,6,2,2,1.0,1996,P,1352.0,1,2,4
T20120003816,FATAL,80,5,0,1,2,1,1.0,17-25,6,2,2,2.33,1989,P,1300.0,1,2,4
